deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,25,11,60,500,2932.2
50mb,4,700m,25,11,80,350,5284.1
50mb,4,700m,25,11,80,400,6525.1
50mb,4,700m,25,11,80,450,5151.6
50mb,4,700m,25,11,80,500,5604.5
50mb,4,700m,25,11,100,350,9149.4
50mb,4,700m,25,11,100,400,9095.1
50mb,4,700m,25,11,100,450,10849.2
50mb,4,700m,25,11,100,500,11696.0
50mb,4,700m,25,11,120,350,14502.0
50mb,4,700m,25,11,120,400,15651.1
50mb,4,700m,25,11,120,450,17278.2
50mb,4,700m,25,11,120,500,15215.9
50mb,4,700m,25,11,140,350,20676.6
50mb,4,700m,25,11,140,400,19793.5
50mb,4,700m,25,11,140,450,19345.0
50mb,4,700m,25,11,140,500,21310.8
50mb,4,700m,25,11,160,350,21415.6
50mb,4,700m,25,11,160,400,25035.6
50mb,4,700m,25,11,160,450,25989.0
50mb,4,700m,25,11,160,500,24861.5
50mb,4,700m,25,11,180,350,28568.3
50mb,4,700m,25,11,180,400,28015.9
50mb,4,700m,25,11,180,450,28454.7
50mb,4,700m,25,11,180,500,32953.2
50mb,4,700m,25,11,200,350,32227.1
50mb,4,700m,25,11,200,400,33725.9
50mb,4,700m,25,11,200,450,34480.1
50mb,4,700m,25,11,200,500,35083.0
50mb,4,700m,25,12,0,350,14.7
50mb,4,700m,25,12,0,400,14.5
50mb,4,700m,25,12,0,450,14.8
50mb,4,700m,25,12,0,500,14.7
50mb,4,700m,25,12,20,350,23.8
50mb,4,700m,25,12,20,400,24.1
50mb,4,700m,25,12,20,450,24.0
50mb,4,700m,25,12,20,500,23.8
50mb,4,700m,25,12,40,350,738.9
50mb,4,700m,25,12,40,400,811.1
50mb,4,700m,25,12,40,450,615.6
50mb,4,700m,25,12,40,500,776.3
50mb,4,700m,25,12,60,350,4208.3
50mb,4,700m,25,12,60,400,2591.1
50mb,4,700m,25,12,60,450,2706.1
50mb,4,700m,25,12,60,500,2650.1
50mb,4,700m,25,12,80,350,5215.9
50mb,4,700m,25,12,80,400,5988.0
50mb,4,700m,25,12,80,450,5055.6
50mb,4,700m,25,12,80,500,6010.5
50mb,4,700m,25,12,100,350,9817.1
