deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,1,700m,50,11,180,400,58212.3
50mb,1,700m,50,11,180,450,41658.7
50mb,1,700m,50,11,180,500,54130.1
50mb,1,700m,50,11,200,350,60246.6
50mb,1,700m,50,11,200,400,97173.8
50mb,1,700m,50,11,200,450,65776.1
50mb,1,700m,50,11,200,500,65858.0
50mb,1,700m,50,12,0,350,20.9
50mb,1,700m,50,12,0,400,14.8
50mb,1,700m,50,12,0,450,14.5
50mb,1,700m,50,12,0,500,14.3
50mb,1,700m,50,12,20,350,405.5
50mb,1,700m,50,12,20,400,563.1
50mb,1,700m,50,12,20,450,632.7
50mb,1,700m,50,12,20,500,711.0
50mb,1,700m,50,12,40,350,5113.6
50mb,1,700m,50,12,40,400,4975.0
50mb,1,700m,50,12,40,450,5398.6
50mb,1,700m,50,12,40,500,7349.1
50mb,1,700m,50,12,60,350,13722.2
50mb,1,700m,50,12,60,400,14578.9
50mb,1,700m,50,12,60,450,14053.3
50mb,1,700m,50,12,60,500,10729.4
50mb,1,700m,50,12,80,350,23382.5
50mb,1,700m,50,12,80,400,21249.7
50mb,1,700m,50,12,80,450,21622.3
50mb,1,700m,50,12,80,500,21513.8
50mb,1,700m,50,12,100,350,36422.0
50mb,1,700m,50,12,100,400,31162.7
50mb,1,700m,50,12,100,450,36226.3
50mb,1,700m,50,12,100,500,32045.6
50mb,1,700m,50,12,120,350,40553.6
50mb,1,700m,50,12,120,400,41810.7
50mb,1,700m,50,12,120,450,46099.7
50mb,1,700m,50,12,120,500,45539.8
50mb,1,700m,50,12,140,350,47342.5
50mb,1,700m,50,12,140,400,53860.3
50mb,1,700m,50,12,140,450,47415.7
50mb,1,700m,50,12,140,500,53187.1
50mb,1,700m,50,12,160,350,58396.2
50mb,1,700m,50,12,160,400,62075.7
50mb,1,700m,50,12,160,450,60737.6
50mb,1,700m,50,12,160,500,62264.1
50mb,1,700m,50,12,180,350,75744.6
50mb,1,700m,50,12,180,400,73190.6
50mb,1,700m,50,12,180,450,63706.5
50mb,1,700m,50,12,180,500,71205.2
50mb,1,700m,50,12,200,350,76834.6
50mb,1,700m,50,12,200,400,78532.2
50mb,1,700m,50,12,200,450,78046.1
50mb,1,700m,50,12,200,500,73531.7
50mb,1,700m,50,13,0,350,13.8
